,country,name,full_name,isin,currency,symbol
73,argentina,Kimberly-Clark DRC,Kimberly-Clark Corp. DRC,ARDEUT111176,ARS,KMB
74,argentina,McDonald DRC,McDonald Corp DRC,ARDEUT110269,ARS,MCD
75,argentina,Merck & Co DRC,Merck & Co Inc DRC,ARDEUT110277,ARS,MRK
76,argentina,3M DRC,3M Co DRC,ARDEUT110293,ARS,MMM
77,argentina,Royal Dutch Shell A DRC,Royal Dutch Shell A DRC,ARDEUT112547,ARS,RDS
78,argentina,Koninklijke Philips DRC,Koninklijke Philips NV DRC,ARDEUT110558,ARS,PHG
79,argentina,Novartis DRC,Novartis DRC,ARDEUT112521,ARS,NVS
80,argentina,Siemens CEDEAR,Siemens AG CEDEAR,ARDEUT112372,ARS,SIEGY
81,argentina,Total CEDEAR DRC,Total CEDEAR DRC,ARDEUT112075,ARS,TOT
82,argentina,Banco Bilbao Vizcaya DRC,Banco Bilbao Vizcaya Argentaria DRC,ARDEUT112232,ARS,BBV
83,argentina,Nokia CEDEAR,Nokia Oyj CEDEAR,ARDEUT110533,ARS,NOKA
84,argentina,BHP Billiton Ltd CEDEAR,BHP Billiton Ltd CEDEAR,ARDEUT112992,ARS,BHP
85,argentina,SAP AG DRC,SAP DRC,ARDEUT112034,ARS,SAP
86,argentina,Apple DRC,Apple Inc DRC,ARDEUT116183,ARS,AAPL
87,argentina,National Grid DRC,National Grid PLC DRC,ARDEUT112620,ARS,NGG
88,argentina,Unilever NV CEDEAR,Unilever NV CEDEAR,ARDEUT112091,ARS,UN
89,argentina,Colgate-Palmolive DRC,Colgate-Palmolive Company DRC,ARDEUT110855,ARS,CL
90,argentina,DowDuPont,DowDuPont Inc,ARDEUT110145,ARS,DD
91,argentina,Pfizer DRC,Pfizer Inc. DRC,ARDEUT111424,ARS,PFE
92,argentina,Wal Mart Stores DRC,Wal Mart Stores Inc DRC,ARDEUT110400,ARS,WMT
93,argentina,Home Depot DRC,Home Depot Inc DRC,ARDEUT111705,ARS,HD
94,argentina,IBM DRC,International Business Machines DRC,ARDEUT110202,ARS,IBM
95,argentina,Sony Corp DRC,Sony Co DRC,ARDEUT112984,ARS,SNE
96,argentina,Verizon DRC,Verizon Communications Inc DRC,ARDEUT112927,ARS,VZ
97,argentina,Bristol-Myers Squibb DRC,Bristol-Myers Squibb Co DRC,ARDEUT112877,ARS,BMY
98,argentina,Newmont Mining DRC,Newmont Mining DRC,ARDEUT112570,ARS,NEM
99,argentina,Johnson & Johnson DRC,Johnson & Johnson Co DRC,ARDEUT110236,ARS,JNJ
