V1,link,ticker,market,parentid,fullname,source,code,updates,date,updated,URL,ticker
"http://s.cafef.vn/hose/ABS-cong-ty-co-phan-dich-vu-nong-nghiep-binh-thuan.chn,CenterName:HSX,Symbol:ABS,TradeCenterID:1,ChangePrice:-9.8746081504702179,VonHoa:215.27926975,ChangeVolume:-24.5466445924614,EPS:1.89435933741015,PE:3.03532697648644,Beta:0,Price:5.75,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty co phan Dich vu Nong nghiep Binh Thuan,ParentCategoryId:338},",hose/ABS-cong-ty-co-phan-dich-vu-nong-nghiep-binh-thuan.chn,ABS,HSX,338,Cong ty co phan Dich vu Nong nghiep Binh Thuan,CAF,STKVNABS,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/ABS-cong-ty-co-phan-dich-vu-nong-nghiep-binh-thuan.chn,
"http://s.cafef.vn/hose/ABT-cong-ty-co-phan-xuat-nhap-khau-thuy-san-ben-tre.chn,CenterName:HSX,Symbol:ABT,TradeCenterID:1,ChangePrice:-6.84563758389261,VonHoa:408.6708179,ChangeVolume:-100,EPS:5.73793013532962,PE:6.04747690919848,Beta:0.347169107359388,Price:34.7,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty Co phan Xuat nhap khau Thuy san Ben Tre,ParentCategoryId:338},",hose/ABT-cong-ty-co-phan-xuat-nhap-khau-thuy-san-ben-tre.chn,ABT,HSX,338,Cong ty Co phan Xuat nhap khau Thuy san Ben Tre,CAF,STKVNABT,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/ABT-cong-ty-co-phan-xuat-nhap-khau-thuy-san-ben-tre.chn,
"http://s.cafef.vn/hose/ACB-ngan-hang-thuong-mai-co-phan-a-chau.chn,CenterName:HSX,Symbol:ACB,TradeCenterID:1,ChangePrice:-0.43478260869565832,VonHoa:77343.2636526,ChangeVolume:-7.6000565926246493,EPS:3.92196137956419,PE:5.83891522219544,Beta:0.51853474717378,Price:22.9,UpdatedDate:\/Date(1671780312384)\/,FullName:Ngan hang Thuong mai Co phan A Chau,ParentCategoryId:341},",hose/ACB-ngan-hang-thuong-mai-co-phan-a-chau.chn,ACB,HSX,341,Ngan hang Thuong mai Co phan A Chau,CAF,STKVNACB,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/ACB-ngan-hang-thuong-mai-co-phan-a-chau.chn,
"http://s.cafef.vn/hose/ACC-cong-ty-co-phan-dau-tu-va-xay-dung-binh-duong-acc.chn,CenterName:HSX,Symbol:ACC,TradeCenterID:1,ChangePrice:0.44444444444445075,VonHoa:1186.4999209,ChangeVolume:30.872483221476511,EPS:0.639079124047123,PE:17.6816916322349,Beta:0.206044212293629,Price:11.3,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty Co phan Đau tu va Xay dung Binh Duong ACC,ParentCategoryId:345},",hose/ACC-cong-ty-co-phan-dau-tu-va-xay-dung-binh-duong-acc.chn,ACC,HSX,345,Cong ty Co phan Đau tu va Xay dung Binh Duong ACC,CAF,STKVNACC,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/ACC-cong-ty-co-phan-dau-tu-va-xay-dung-binh-duong-acc.chn,
"http://s.cafef.vn/upcom/ACE-cong-ty-co-phan-be-tong-ly-tam-an-giang.chn,CenterName:UpCom,Symbol:ACE,TradeCenterID:9,ChangePrice:0,VonHoa:112.878897,ChangeVolume:200,EPS:6.30151950566101,PE:5.87159969381366,Beta:-0.0011936160791637,Price:37,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty Co phan Be tong ly tam An Giang,ParentCategoryId:343},",upcom/ACE-cong-ty-co-phan-be-tong-ly-tam-an-giang.chn,ACE,UPC,343,Cong ty Co phan Be tong ly tam An Giang,CAF,STKVNACE,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/ACE-cong-ty-co-phan-be-tong-ly-tam-an-giang.chn,
"http://s.cafef.vn/hose/ACG-cong-ty-co-phan-go-an-cuong.chn,CenterName:HSX,Symbol:ACG,TradeCenterID:1,ChangePrice:-0.28169014084507443,VonHoa:4808.6128788,ChangeVolume:104.27553444180522,EPS:4.37875196790353,PE:8.08449536751196,Beta:0,Price:35.4,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty Co phan Go An Cuong,ParentCategoryId:339},",hose/ACG-cong-ty-co-phan-go-an-cuong.chn,ACG,HSX,339,Cong ty Co phan Go An Cuong,CAF,STKVNACG,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/ACG-cong-ty-co-phan-go-an-cuong.chn,
"http://s.cafef.vn/hose/ACL-cong-ty-co-phan-xuat-nhap-khau-thuy-san-cuu-long-an-giang.chn,CenterName:HSX,Symbol:ACL,TradeCenterID:1,ChangePrice:-8.9361702127659637,VonHoa:536.7015033,ChangeVolume:-37.802582033351264,EPS:2.62274560963802,PE:4.07969418028185,Beta:0.317787519820912,Price:10.7,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty co phan Xuat nhap khau Thuy san Cuu Long An Giang,ParentCategoryId:338},",hose/ACL-cong-ty-co-phan-xuat-nhap-khau-thuy-san-cuu-long-an-giang.chn,ACL,HSX,338,Cong ty co phan Xuat nhap khau Thuy san Cuu Long An Giang,CAF,STKVNACL,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/ACL-cong-ty-co-phan-xuat-nhap-khau-thuy-san-cuu-long-an-giang.chn,
"http://s.cafef.vn/upcom/ACM-cong-ty-co-phan-tap-doan-khoang-san-a-cuong.chn,CenterName:UpCom,Symbol:ACM,TradeCenterID:9,ChangePrice:0,VonHoa:45.9,ChangeVolume:400,EPS:-0.201237545156863,PE:-4.47232647018457,Beta:0,Price:0.9,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty co phan Tap doan Khoang san A Cuong,ParentCategoryId:344},",upcom/ACM-cong-ty-co-phan-tap-doan-khoang-san-a-cuong.chn,ACM,UPC,344,Cong ty co phan Tap doan Khoang san A Cuong,CAF,STKVNACM,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/ACM-cong-ty-co-phan-tap-doan-khoang-san-a-cuong.chn,
"http://s.cafef.vn/upcom/ACS-cong-ty-co-phan-xay-lap-thuong-mai-2.chn,CenterName:UpCom,Symbol:ACS,TradeCenterID:9,ChangePrice:14.516129032258055,VonHoa:52.840614,ChangeVolume:-100,EPS:0.61588843025,PE:23.0561239707587,Beta:0,Price:14.2,UpdatedDate:\/Date(1671780312384)\/,FullName:Cong ty Co phan Xay lap Thuong mai 2,ParentCategoryId:345},",upcom/ACS-cong-ty-co-phan-xay-lap-thuong-mai-2.chn,ACS,UPC,345,Cong ty Co phan Xay lap Thuong mai 2,CAF,STKVNACS,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/ACS-cong-ty-co-phan-xay-lap-thuong-mai-2.chn,
"http://s.cafef.vn/upcom/ACV-tong-cong-ty-cang-hang-khong-viet-nam-ctcp.chn,CenterName:UpCom,Symbol:ACV,TradeCenterID:9,ChangePrice:-1.1764705882352942,VonHoa:182882.551824,ChangeVolume:86.7767505789761,EPS:2.83324853202855,PE:29.647946182772,Beta:0,Price:84,UpdatedDate:\/Date(1671780312384)\/,FullName:Tong cong ty Cang hang khong Viet Nam - CTCP,ParentCategoryId:343},",upcom/ACV-tong-cong-ty-cang-hang-khong-viet-nam-ctcp.chn,ACV,UPC,343,Tong cong ty Cang hang khong Viet Nam - CTCP,CAF,STKVNACV,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/ACV-tong-cong-ty-cang-hang-khong-viet-nam-ctcp.chn,
