V1,link,ticker,market,parentid,fullname,source,code,updates,date,updated,URL,ticker
"http://s.cafef.vn/upcom/FCC-ctcp-lien-hop-thuc-pham.chn,CenterName:UpCom,Symbol:FCC,TradeCenterID:9,ChangePrice:0,VonHoa:44.9778,ChangeVolume:0,EPS:-0.115007792510972,PE:-65.2129724104084,Beta:0,Price:7.5,UpdatedDate:\/Date(1671780312385)\/,FullName:CTCP Lien hop Thuc pham,ParentCategoryId:339},",upcom/FCC-ctcp-lien-hop-thuc-pham.chn,FCC,UPC,339,CTCP Lien hop Thuc pham,CAF,STKVNFCC,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/FCC-ctcp-lien-hop-thuc-pham.chn,
"http://s.cafef.vn/hose/FCM-cong-ty-co-phan-khoang-san-fecon.chn,CenterName:HSX,Symbol:FCM,TradeCenterID:1,ChangePrice:-6.6496163682864511,VonHoa:164.61488685,ChangeVolume:156.02409638554218,EPS:0.165027345896197,PE:22.1175465204165,Beta:1.39100830146442,Price:3.65,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty co phan Khoang san FECON,ParentCategoryId:344},",hose/FCM-cong-ty-co-phan-khoang-san-fecon.chn,FCM,HSX,344,Cong ty co phan Khoang san FECON,CAF,STKVNFCM,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/FCM-cong-ty-co-phan-khoang-san-fecon.chn,
"http://s.cafef.vn/hose/FCN-cong-ty-co-phan-fecon.chn,CenterName:HSX,Symbol:FCN,TradeCenterID:1,ChangePrice:-10.19417475728156,VonHoa:1456.31079625,ChangeVolume:78.125732434720632,EPS:0.346321590043074,PE:26.7092790803182,Beta:1.14009887137394,Price:9.25,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty co phan FECON,ParentCategoryId:343},",hose/FCN-cong-ty-co-phan-fecon.chn,FCN,HSX,343,Cong ty co phan FECON,CAF,STKVNFCN,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/FCN-cong-ty-co-phan-fecon.chn,
"http://s.cafef.vn/upcom/FCS-cong-ty-co-phan-luong-thuc-thanh-pho-ho-chi-minh.chn,CenterName:UpCom,Symbol:FCS,TradeCenterID:9,ChangePrice:0,VonHoa:153.14,ChangeVolume:0,EPS:-0.2784657675382,PE:-18.6737495454864,Beta:0,Price:5.2,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Luong thuc Thanh pho Ho Chi Minh,ParentCategoryId:338},",upcom/FCS-cong-ty-co-phan-luong-thuc-thanh-pho-ho-chi-minh.chn,FCS,UPC,338,Cong ty Co phan Luong thuc Thanh pho Ho Chi Minh,CAF,STKVNFCS,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/FCS-cong-ty-co-phan-luong-thuc-thanh-pho-ho-chi-minh.chn,
"http://s.cafef.vn/hose/FDC-cong-ty-co-phan-ngoai-thuong-va-phat-trien-dau-tu.chn,CenterName:HSX,Symbol:FDC,TradeCenterID:1,ChangePrice:0,VonHoa:770.5385856,ChangeVolume:400,EPS:0.012337670124459,PE:1616.99897944668,Beta:0.388023505270031,Price:19.95,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Ngoai thuong va Phat trien Đau tu ,ParentCategoryId:346},",hose/FDC-cong-ty-co-phan-ngoai-thuong-va-phat-trien-dau-tu.chn,FDC,HSX,346,Cong ty Co phan Ngoai thuong va Phat trien Đau tu ,CAF,STKVNFDC,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/FDC-cong-ty-co-phan-ngoai-thuong-va-phat-trien-dau-tu.chn,
"http://s.cafef.vn/upcom/FGL-cong-ty-co-phan-ca-phe-gia-lai.chn,CenterName:UpCom,Symbol:FGL,TradeCenterID:9,ChangePrice:0,VonHoa:183.45375,ChangeVolume:0,EPS:0.0266248015507997,PE:469.487067392792,Beta:0,Price:12.5,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty co phan Ca phe Gia Lai,ParentCategoryId:338},",upcom/FGL-cong-ty-co-phan-ca-phe-gia-lai.chn,FGL,UPC,338,Cong ty co phan Ca phe Gia Lai,CAF,STKVNFGL,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/FGL-cong-ty-co-phan-ca-phe-gia-lai.chn,
"http://s.cafef.vn/upcom/FHN-cong-ty-co-phan-xuat-nhap-khau-luong-thuc-thuc-pham-ha-noi.chn,CenterName:UpCom,Symbol:FHN,TradeCenterID:9,ChangePrice:0,VonHoa:46.5,ChangeVolume:0,EPS:0.0770765426666667,PE:201.09879690677,Beta:0,Price:15.5,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong Ty Co phan Xuat Nhap Khau Luong Thuc - Thuc Pham Ha Noi,ParentCategoryId:338},",upcom/FHN-cong-ty-co-phan-xuat-nhap-khau-luong-thuc-thuc-pham-ha-noi.chn,FHN,UPC,338,Cong Ty Co phan Xuat Nhap Khau Luong Thuc - Thuc Pham Ha Noi,CAF,STKVNFHN,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/FHN-cong-ty-co-phan-xuat-nhap-khau-luong-thuc-thuc-pham-ha-noi.chn,
"http://s.cafef.vn/upcom/FHS-cong-ty-co-phan-phat-hanh-sach-tp-ho-chi-minh.chn,CenterName:UpCom,Symbol:FHS,TradeCenterID:9,ChangePrice:5.4421768707483045,VonHoa:395.295322,ChangeVolume:-100,EPS:-0.00167483465146206,PE:-18509.2898412021,Beta:0,Price:31,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty co phan Phat hanh sach T.P Ho Chi Minh,ParentCategoryId:346},",upcom/FHS-cong-ty-co-phan-phat-hanh-sach-tp-ho-chi-minh.chn,FHS,UPC,346,Cong ty co phan Phat hanh sach T.P Ho Chi Minh,CAF,STKVNFHS,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/FHS-cong-ty-co-phan-phat-hanh-sach-tp-ho-chi-minh.chn,
"http://s.cafef.vn/upcom/FIC-tong-cong-ty-vat-lieu-xay-dung-so-1-ctcp.chn,CenterName:UpCom,Symbol:FIC,TradeCenterID:9,ChangePrice:-0.40983606557376173,VonHoa:3086.1,ChangeVolume:-100,EPS:0.885737931905512,PE:27.4347514368305,Beta:0,Price:24.3,UpdatedDate:\/Date(1671780312385)\/,FullName:Tong Cong ty Vat lieu Xay dung so 1 - CTCP,ParentCategoryId:345},",upcom/FIC-tong-cong-ty-vat-lieu-xay-dung-so-1-ctcp.chn,FIC,UPC,345,Tong Cong ty Vat lieu Xay dung so 1 - CTCP,CAF,STKVNFIC,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/FIC-tong-cong-ty-vat-lieu-xay-dung-so-1-ctcp.chn,
"http://s.cafef.vn/hastc/FID-cong-ty-co-phan-dau-tu-va-phat-trien-doanh-nghiep-viet-nam.chn,CenterName:HNX,Symbol:FID,TradeCenterID:2,ChangePrice:-5.0000000000000044,VonHoa:46.9603202,ChangeVolume:52.57519039628243,EPS:-0.0147196755909677,PE:-129.078931682834,Beta:0,Price:1.9,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Đau tu va Phat trien Doanh nghiep Viet Nam,ParentCategoryId:346},",hastc/FID-cong-ty-co-phan-dau-tu-va-phat-trien-doanh-nghiep-viet-nam.chn,FID,HNX,346,Cong ty Co phan Đau tu va Phat trien Doanh nghiep Viet Nam,CAF,STKVNFID,2022-12-30,2022-12-29,,https://s.cafef.vn/hastc/FID-cong-ty-co-phan-dau-tu-va-phat-trien-doanh-nghiep-viet-nam.chn,
"http://s.cafef.vn/hose/FIR-cong-ty-co-phan-dia-oc-first-real.chn,CenterName:HSX,Symbol:FIR,TradeCenterID:1,ChangePrice:-3.3613445378151288,VonHoa:2052.29069,ChangeVolume:-4.170845870946172,EPS:2.46574951372553,PE:18.6555851451829,Beta:0,Price:46,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Đia oc First Real,ParentCategoryId:345},",hose/FIR-cong-ty-co-phan-dia-oc-first-real.chn,FIR,HSX,345,Cong ty Co phan Đia oc First Real,CAF,STKVNFIR,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/FIR-cong-ty-co-phan-dia-oc-first-real.chn,
"http://s.cafef.vn/hose/FIT-cong-ty-co-phan-tap-doan-fit.chn,CenterName:HSX,Symbol:FIT,TradeCenterID:1,ChangePrice:-10.000000000000009,VonHoa:1284.94686852,ChangeVolume:-29.479331700993807,EPS:0.21448028967829,PE:17.6239970846264,Beta:1.80843046183507,Price:3.78,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty co phan Tap doan F.I.T,ParentCategoryId:341},",hose/FIT-cong-ty-co-phan-tap-doan-fit.chn,FIT,HSX,341,Cong ty co phan Tap doan F.I.T,CAF,STKVNFIT,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/FIT-cong-ty-co-phan-tap-doan-fit.chn,
"http://s.cafef.vn/hose/FLC-cong-ty-co-phan-tap-doan-flc.chn,CenterName:HSX,Symbol:FLC,TradeCenterID:1,ChangePrice:0,VonHoa:2534.69217099,ChangeVolume:0,EPS:-1.86255503243314,PE:-1.91672188892929,Beta:1.37953549109225,Price:0,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty co phan Tap doan FLC,ParentCategoryId:345},",hose/FLC-cong-ty-co-phan-tap-doan-flc.chn,FLC,HSX,345,Cong ty co phan Tap doan FLC,CAF,STKVNFLC,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/FLC-cong-ty-co-phan-tap-doan-flc.chn,
"http://s.cafef.vn/hose/FMC-cong-ty-co-phan-thuc-pham-sao-ta.chn,CenterName:HSX,Symbol:FMC,TradeCenterID:1,ChangePrice:-4.2857142857142856,VonHoa:2190.5277815,ChangeVolume:-52.63023493360572,EPS:5.26923363820422,PE:6.3576607719784,Beta:0.918384479059789,Price:33.5,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Thuc pham Sao Ta ,ParentCategoryId:338},",hose/FMC-cong-ty-co-phan-thuc-pham-sao-ta.chn,FMC,HSX,338,Cong ty Co phan Thuc pham Sao Ta ,CAF,STKVNFMC,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/FMC-cong-ty-co-phan-thuc-pham-sao-ta.chn,
"http://s.cafef.vn/upcom/FOC-cong-ty-co-phan-dich-vu-truc-tuyen-fpt.chn,CenterName:UpCom,Symbol:FOC,TradeCenterID:9,ChangePrice:0.92592592592592582,VonHoa:2012.687725,ChangeVolume:176.11940298507463,EPS:14.4647902196179,PE:7.53553963417793,Beta:0,Price:109,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty co phan Dich vu Truc tuyen FPT,ParentCategoryId:347},",upcom/FOC-cong-ty-co-phan-dich-vu-truc-tuyen-fpt.chn,FOC,UPC,347,Cong ty co phan Dich vu Truc tuyen FPT,CAF,STKVNFOC,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/FOC-cong-ty-co-phan-dich-vu-truc-tuyen-fpt.chn,
"http://s.cafef.vn/upcom/FOX-cong-ty-co-phan-vien-thong-fpt.chn,CenterName:UpCom,Symbol:FOX,TradeCenterID:9,ChangePrice:1.7647058823529385,VonHoa:17040.8220222,ChangeVolume:-4.5876356031891259,EPS:6.43643162428096,PE:8.06347414679449,Beta:0,Price:51.9,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Vien thong FPT,ParentCategoryId:347},",upcom/FOX-cong-ty-co-phan-vien-thong-fpt.chn,FOX,UPC,347,Cong ty Co phan Vien thong FPT,CAF,STKVNFOX,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/FOX-cong-ty-co-phan-vien-thong-fpt.chn,
"http://s.cafef.vn/hose/FPT-cong-ty-co-phan-fpt.chn,CenterName:HSX,Symbol:FPT,TradeCenterID:1,ChangePrice:-0.89858793324775721,VonHoa:84690.4513584,ChangeVolume:16.044129637178965,EPS:4.79122724055039,PE:16.1127819917662,Beta:0.742001678947859,Price:77.2,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan FPT ,ParentCategoryId:347},",hose/FPT-cong-ty-co-phan-fpt.chn,FPT,HSX,347,Cong ty Co phan FPT ,CAF,STKVNFPT,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/FPT-cong-ty-co-phan-fpt.chn,
"http://s.cafef.vn/upcom/FRC-cong-ty-co-phan-lam-dac-san-xuat-khau-quang-nam.chn,CenterName:UpCom,Symbol:FRC,TradeCenterID:9,ChangePrice:-11.016949152542379,VonHoa:63,ChangeVolume:30.434782608695652,EPS:10.9928873363333,PE:1.91032613702785,Beta:0,Price:21,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty co phan Lam dac san Xuat khau Quang Nam,ParentCategoryId:344},",upcom/FRC-cong-ty-co-phan-lam-dac-san-xuat-khau-quang-nam.chn,FRC,UPC,344,Cong ty co phan Lam dac san Xuat khau Quang Nam,CAF,STKVNFRC,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/FRC-cong-ty-co-phan-lam-dac-san-xuat-khau-quang-nam.chn,
"http://s.cafef.vn/upcom/FRM-cong-ty-co-phan-lam-nghiep-sai-gon.chn,CenterName:UpCom,Symbol:FRM,TradeCenterID:9,ChangePrice:0,VonHoa:146.25,ChangeVolume:0,EPS:0.359719144102564,PE:34.7493320968093,Beta:0,Price:12.5,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty co phan Lam nghiep Sai Gon,ParentCategoryId:344},",upcom/FRM-cong-ty-co-phan-lam-nghiep-sai-gon.chn,FRM,UPC,344,Cong ty co phan Lam nghiep Sai Gon,CAF,STKVNFRM,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/FRM-cong-ty-co-phan-lam-nghiep-sai-gon.chn,
"http://s.cafef.vn/hose/FRT-cong-ty-co-phan-ban-le-ky-thuat-so-fpt.chn,CenterName:HSX,Symbol:FRT,TradeCenterID:1,ChangePrice:-3.8821954484605161,VonHoa:8506.328013,ChangeVolume:-37.317518248175183,EPS:5.32672872971539,PE:13.4791921352143,Beta:0,Price:71.8,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty co phan Ban le Ky thuat so FPT,ParentCategoryId:347},",hose/FRT-cong-ty-co-phan-ban-le-ky-thuat-so-fpt.chn,FRT,HSX,347,Cong ty co phan Ban le Ky thuat so FPT,CAF,STKVNFRT,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/FRT-cong-ty-co-phan-ban-le-ky-thuat-so-fpt.chn,
"http://s.cafef.vn/upcom/FSO-cong-ty-co-phan-co-khi-dong-tau-thuy-san-viet-nam.chn,CenterName:UpCom,Symbol:FSO,TradeCenterID:9,ChangePrice:0,VonHoa:61.874626,ChangeVolume:0,EPS:0.142494405832853,PE:77.1960129642077,Beta:0,Price:11,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Co khi dong tau thuy san Viet Nam,ParentCategoryId:343},",upcom/FSO-cong-ty-co-phan-co-khi-dong-tau-thuy-san-viet-nam.chn,FSO,UPC,343,Cong ty Co phan Co khi dong tau thuy san Viet Nam,CAF,STKVNFSO,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/FSO-cong-ty-co-phan-co-khi-dong-tau-thuy-san-viet-nam.chn,
"http://s.cafef.vn/upcom/FT1-cong-ty-co-phan-phu-tung-may-so-1.chn,CenterName:UpCom,Symbol:FT1,TradeCenterID:9,ChangePrice:-12.972972972972965,VonHoa:227.9712666,ChangeVolume:-37.5,EPS:6.8276028629408,PE:4.7161501110114,Beta:0,Price:32.2,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Phu tung may so 1,ParentCategoryId:343},",upcom/FT1-cong-ty-co-phan-phu-tung-may-so-1.chn,FT1,UPC,343,Cong ty Co phan Phu tung may so 1,CAF,STKVNFT1,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/FT1-cong-ty-co-phan-phu-tung-may-so-1.chn,
"http://s.cafef.vn/upcom/FTI-cong-ty-co-phan-cong-nghiep-thuong-mai-huu-nghi.chn,CenterName:UpCom,Symbol:FTI,TradeCenterID:9,ChangePrice:0,VonHoa:14.591727,ChangeVolume:0,EPS:0.707351341249737,PE:5.23078106201495,Beta:0,Price:3.7,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Cong nghiep - Thuong mai Huu Nghi,ParentCategoryId:343},",upcom/FTI-cong-ty-co-phan-cong-nghiep-thuong-mai-huu-nghi.chn,FTI,UPC,343,Cong ty Co phan Cong nghiep - Thuong mai Huu Nghi,CAF,STKVNFTI,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/FTI-cong-ty-co-phan-cong-nghiep-thuong-mai-huu-nghi.chn,
"http://s.cafef.vn/upcom/FTM-cong-ty-co-phan-dau-tu-va-phat-trien-duc-quan.chn,CenterName:UpCom,Symbol:FTM,TradeCenterID:9,ChangePrice:-5.55555555555556,VonHoa:85,ChangeVolume:47.480862479417219,EPS:-4.88399222876,PE:-0.348075901920838,Beta:0,Price:1.7,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Đau tu va Phat trien Đuc Quan,ParentCategoryId:339},",upcom/FTM-cong-ty-co-phan-dau-tu-va-phat-trien-duc-quan.chn,FTM,UPC,339,Cong ty Co phan Đau tu va Phat trien Đuc Quan,CAF,STKVNFTM,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/FTM-cong-ty-co-phan-dau-tu-va-phat-trien-duc-quan.chn,
"http://s.cafef.vn/hose/FTS-cong-ty-co-phan-chung-khoan-fpt.chn,CenterName:HSX,Symbol:FTS,TradeCenterID:1,ChangePrice:-9.3240093240093245,VonHoa:3793.95938155,ChangeVolume:-31.444134810513745,EPS:2.25758556843587,PE:8.61539880124038,Beta:0,Price:19.45,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Chung khoan FPT,ParentCategoryId:341},",hose/FTS-cong-ty-co-phan-chung-khoan-fpt.chn,FTS,HSX,341,Cong ty Co phan Chung khoan FPT,CAF,STKVNFTS,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/FTS-cong-ty-co-phan-chung-khoan-fpt.chn,
"http://s.cafef.vn/upcom/G20-cong-ty-co-phan-dau-tu-det-may-ghome.chn,CenterName:UpCom,Symbol:G20,TradeCenterID:9,ChangePrice:0,VonHoa:12.96,ChangeVolume:400,EPS:-3.78123772986111,PE:-0.23801730129067,Beta:0,Price:0.9,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty co phan Đau tu Det may G.Home,ParentCategoryId:339},",upcom/G20-cong-ty-co-phan-dau-tu-det-may-ghome.chn,G20,UPC,339,Cong ty co phan Đau tu Det may G.Home,CAF,STKVNG20,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/G20-cong-ty-co-phan-dau-tu-det-may-ghome.chn,
"http://s.cafef.vn/upcom/G36-tong-cong-ty-36-ctcp.chn,CenterName:UpCom,Symbol:G36,TradeCenterID:9,ChangePrice:-6.1538461538461586,VonHoa:620.7151075,ChangeVolume:11.549609810479376,EPS:0.197006707586217,PE:30.9634127423322,Beta:0,Price:6.1,UpdatedDate:\/Date(1671780312385)\/,FullName:Tong Cong ty 36 - CTCP,ParentCategoryId:345},",upcom/G36-tong-cong-ty-36-ctcp.chn,G36,UPC,345,Tong Cong ty 36 - CTCP,CAF,STKVNG36,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/G36-tong-cong-ty-36-ctcp.chn,
"http://s.cafef.vn/hose/GAB-cong-ty-co-phan-dau-tu-khai-khoang-va-quan-ly-tai-san-flc.chn,CenterName:HSX,Symbol:GAB,TradeCenterID:1,ChangePrice:0,VonHoa:2927.1430468,ChangeVolume:0,EPS:-0.0413798588072083,PE:-4746.27042385624,Beta:0,Price:196.4,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Đau tu khai khoang va Quan ly tai san FLC,ParentCategoryId:345},",hose/GAB-cong-ty-co-phan-dau-tu-khai-khoang-va-quan-ly-tai-san-flc.chn,GAB,HSX,345,Cong ty Co phan Đau tu khai khoang va Quan ly tai san FLC,CAF,STKVNGAB,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/GAB-cong-ty-co-phan-dau-tu-khai-khoang-va-quan-ly-tai-san-flc.chn,
"http://s.cafef.vn/hose/GAS-tong-cong-ty-khi-viet-namctcp.chn,CenterName:HSX,Symbol:GAS,TradeCenterID:1,ChangePrice:-4.8872180451127845,VonHoa:193691.74,ChangeVolume:-6.9606917096563246,EPS:4.53144808509104,PE:22.3328168169815,Beta:1.72996921928925,Price:101.2,UpdatedDate:\/Date(1671780312385)\/,FullName:Tong Cong ty Khi Viet Nam-CTCP,ParentCategoryId:340},",hose/GAS-tong-cong-ty-khi-viet-namctcp.chn,GAS,HSX,340,Tong Cong ty Khi Viet Nam-CTCP,CAF,STKVNGAS,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/GAS-tong-cong-ty-khi-viet-namctcp.chn,
"http://s.cafef.vn/upcom/GCB-cong-ty-co-phan-petec-binh-dinh.chn,CenterName:UpCom,Symbol:GCB,TradeCenterID:9,ChangePrice:0,VonHoa:97.7473574,ChangeVolume:0,EPS:0.875742090099717,PE:27.6337066284486,Beta:0,Price:24.2,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co Phan Petec Binh Đinh,ParentCategoryId:340},",upcom/GCB-cong-ty-co-phan-petec-binh-dinh.chn,GCB,UPC,340,Cong ty Co Phan Petec Binh Đinh,CAF,STKVNGCB,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/GCB-cong-ty-co-phan-petec-binh-dinh.chn,
"http://s.cafef.vn/upcom/GCF-cong-ty-co-phan-thuc-pham-gc.chn,CenterName:UpCom,Symbol:GCF,TradeCenterID:9,ChangePrice:0,VonHoa:576.784,ChangeVolume:0,EPS:0,PE:0,Beta:0,Price:0,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty co phan Thuc pham G.C,ParentCategoryId:339},",upcom/GCF-cong-ty-co-phan-thuc-pham-gc.chn,GCF,UPC,339,Cong ty co phan Thuc pham G.C,CAF,STKVNGCF,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/GCF-cong-ty-co-phan-thuc-pham-gc.chn,
"http://s.cafef.vn/hose/GDT-cong-ty-co-phan-che-bien-go-duc-thanh.chn,CenterName:HSX,Symbol:GDT,TradeCenterID:1,ChangePrice:-2.6798307475317427,VonHoa:666.6801045,ChangeVolume:27.376425855513308,EPS:3.44588128614897,PE:10.0119525703558,Beta:0.208469359201567,Price:34.5,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Che bien Go Đuc Thanh,ParentCategoryId:339},",hose/GDT-cong-ty-co-phan-che-bien-go-duc-thanh.chn,GDT,HSX,339,Cong ty Co phan Che bien Go Đuc Thanh,CAF,STKVNGDT,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/GDT-cong-ty-co-phan-che-bien-go-duc-thanh.chn,
"http://s.cafef.vn/hastc/GDW-cong-ty-co-phan-cap-nuoc-gia-dinh.chn,CenterName:HNX,Symbol:GDW,TradeCenterID:2,ChangePrice:0.476190476190483,VonHoa:200.45,ChangeVolume:-100,EPS:2.67789553463158,PE:7.87932155198986,Beta:-0.0656392584178811,Price:21.1,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Cap nuoc Gia Đinh,ParentCategoryId:346},",hastc/GDW-cong-ty-co-phan-cap-nuoc-gia-dinh.chn,GDW,HNX,346,Cong ty Co phan Cap nuoc Gia Đinh,CAF,STKVNGDW,2022-12-30,2022-12-29,,https://s.cafef.vn/hastc/GDW-cong-ty-co-phan-cap-nuoc-gia-dinh.chn,
"http://s.cafef.vn/upcom/GE2-tong-cong-ty-phat-dien-2-cong-ty-co-phan.chn,CenterName:UpCom,Symbol:GE2,TradeCenterID:9,ChangePrice:3.7656081854363386,VonHoa:29428.7555016,ChangeVolume:-70.149253731343279,EPS:3.49735180893739,PE:7.09107958102021,Beta:0,Price:24.299,UpdatedDate:\/Date(1671780312385)\/,FullName:Tong cong ty Phat dien 2 - Cong ty co phan,ParentCategoryId:340},",upcom/GE2-tong-cong-ty-phat-dien-2-cong-ty-co-phan.chn,GE2,UPC,340,Tong cong ty Phat dien 2 - Cong ty co phan,CAF,STKVNGE2,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/GE2-tong-cong-ty-phat-dien-2-cong-ty-co-phan.chn,
"http://s.cafef.vn/upcom/GEE-cong-ty-co-phan-thiet-bi-dien-gelex.chn,CenterName:UpCom,Symbol:GEE,TradeCenterID:9,ChangePrice:-2.3437500000000053,VonHoa:7500,ChangeVolume:15.633074935400517,EPS:2.06405219426667,PE:12.1120968110413,Beta:0,Price:25,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty co phan Thiet bi Đien Gelex,ParentCategoryId:343},",upcom/GEE-cong-ty-co-phan-thiet-bi-dien-gelex.chn,GEE,UPC,343,Cong ty co phan Thiet bi Đien Gelex,CAF,STKVNGEE,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/GEE-cong-ty-co-phan-thiet-bi-dien-gelex.chn,
"http://s.cafef.vn/hose/GEG-cong-ty-co-phan-dien-gia-lai.chn,CenterName:HSX,Symbol:GEG,TradeCenterID:1,ChangePrice:-0.75187969924813092,VonHoa:4249.5761352,ChangeVolume:-2.8393434766982151,EPS:1.01577981521048,PE:12.9949422132047,Beta:0,Price:13.2,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Đien Gia Lai,ParentCategoryId:340},",hose/GEG-cong-ty-co-phan-dien-gia-lai.chn,GEG,HSX,340,Cong ty Co phan Đien Gia Lai,CAF,STKVNGEG,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/GEG-cong-ty-co-phan-dien-gia-lai.chn,
"http://s.cafef.vn/upcom/GER-cong-ty-co-phan-the-thao-ngoi-sao-geru.chn,CenterName:UpCom,Symbol:GER,TradeCenterID:9,ChangePrice:0,VonHoa:17.6,ChangeVolume:0,EPS:0.3865491,PE:20.6959478110284,Beta:0.0125907244479526,Price:8,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan The thao Ngoi sao Geru,ParentCategoryId:344},",upcom/GER-cong-ty-co-phan-the-thao-ngoi-sao-geru.chn,GER,UPC,344,Cong ty Co phan The thao Ngoi sao Geru,CAF,STKVNGER,2022-12-30,2022-12-29,,https://s.cafef.vn/upcom/GER-cong-ty-co-phan-the-thao-ngoi-sao-geru.chn,
"http://s.cafef.vn/hose/GEX-cong-ty-co-phan-tap-doan-gelex.chn,CenterName:HSX,Symbol:GEX,TradeCenterID:1,ChangePrice:-17.125382262996943,VonHoa:11537.76799515,ChangeVolume:7.961976820491782,EPS:0.590810062237639,PE:22.9346127733177,Beta:0,Price:13.55,UpdatedDate:\/Date(1671780312385)\/,FullName:Cong ty Co phan Tap doan GELEX,ParentCategoryId:347},",hose/GEX-cong-ty-co-phan-tap-doan-gelex.chn,GEX,HSX,347,Cong ty Co phan Tap doan GELEX,CAF,STKVNGEX,2022-12-30,2022-12-29,,https://s.cafef.vn/hose/GEX-cong-ty-co-phan-tap-doan-gelex.chn,
