,name,symbol,currency
895,Dash Green,DASHG,USD
896,Wild Beast Block,WBB,USD
897,Peerguess,GUESS,USD
898,EcoCoin,ECO,USD
899,Crystal Clear ,CCT,USD
900,Comet,CMT,USD
901,SONO,SONO,USD
902,NodeCoin,NODC,USD
903,iBank,IBANK,USD
904,Coinonat,CXT,USD
905,SocialCoin,SOCC,USD
906,Fintab,FNTB,USD
907,RouletteToken,RLT,USD
908,Ccore,CCO,USD
909,Iconic,ICON,USD
910,Experience Points,XP,USD
911,VapersCoin,VPRC,USD
912,PonziCoin,PONZI,USD
913,Argus,ARGUS,USD
914,Concoin,CONX,USD
915,ArtByte,ABY,USD
916,Helpico,HELP,USD
917,HarmonyCoin,HMC,USD
918,X2,X2,USD
919,CRYPTO20,C20,USD
920,RON,RON,USD
921,Aces,ACES,USD
922,ALQO,XLQ,USD
923,BUMO,BU,USD
924,DEEX,DEEX,USD
925,FOIN,FOIN,USD
926,Kala,KALA,USD
927,LIZA,LIZA,USD
928,MOAC,MOAC,USD
929,NAGA,NGC,USD
930,ODEM,ODE,USD
931,Veggie,VEGI,USD
932,WiBX,WBX,USD
933,Axiom,AXIOM,USD
934,Clams,CLAM,USD
935,Dashs,DASHS,USD
936,Fidyo,FIDYO,USD
937,Flash,FLASH,USD
938,Hydro,HYDRO,USD
939,Lykke,LKK,USD
940,MMXVI,MMXVI,USD
941,SaluS,SLS,USD
942,Tesra,TSR,USD
943,BioBar,BIOB,USD
944,Bubble,BUB,USD
945,Change,CAG,USD
946,ECC,ECC,USD
947,Francs,FRN,USD
948,Maggie,MAG,USD
949,Nectar,NEC,USD
950,netBit,NBIT,USD
951,Sphere,SPHR,USD
952,Wagerr,WGR,USD
953,XDE II,XDE2,USD
954,BitCore,BTX,USD
955,BMChain,BMT,USD
956,BTCMoon,BTCM,USD
957,Electra,ECA,USD
958,LKRCoin,LKRc,USD
959,Moneta,MONETA,USD
960,Neumark,NEU,USD
961,Omicron,OMC,USD
962,Sexcoin,SXC,USD
963,United Traders Token,UTT,USD
964,Bastonet,BSN,USD
965,BitTube,TUBE,USD
966,BitcoinX,BCX,USD
967,BlockCDN,BCDN,USD
968,ClubCoin,CLUB,USD
969,DarkLisk,DISK,USD
970,Etheroll,DICE,USD
971,Fazzcoin,FAZZ,USD
972,MarxCoin,MARX,USD
973,PeepCoin,PCN,USD
974,Polybius,PLBT,USD
975,Quotient,XQN,USD
976,RubleBit,RUBIT,USD
977,Rubycoin,RBY,USD
978,SegWit2x,B2X,USD
979,TopChain,TOPC,USD
980,Universa,UTNP,USD
981,Voyacoin,VOYA,USD
982,Zeitcoin,ZEIT,USD
983,AgaveCoin,AGVC,USD
984,BNS Token,BNS,USD
985,CanYaCoin,CAN,USD
986,COMSA [ETH],CMS,USD
987,EncrypGen,DNA,USD
988,KashhCoin,KASHH,USD
989,Lambo Coin,LAMBO,USD
990,RoyalCoin,ROYAL,USD
991,ShellCoin,SHELL,USD
992,SwapToken,TOKEN,USD
993,ThoreNext,THX,USD
994,Auroracoin,AUR,USD
995,Authorship,ATS,USD
996,AvatarCoin,AV,USD
997,BlazerCoin,BLAZR,USD
998,BlockStamp,BST,USD
999,ColossusXT,COLX,USD
1000,FirstBlood,1ST,USD
1001,Flash Token,FTOKEN,USD
1002,Fonziecoin,FONZ,USD
1003,FuturoCoin,FTO,USD
1004,PrismChain,PRM,USD
1005,RabbitCoin,RBBT,USD
1006,SpankChain,SPANK,USD
1007,SportsCoin,SPORT,USD
1008,TrickyCoin,TRICK,USD
1009,Bitcoin God,GOD,USD
1010,CoinEx Token,CET,USD
1011,Dinastycoin,DCY,USD
1012,NewYorkCoin,NYC,USD
1013,NoLimitCoin,NLC2,USD
1014,V-Dimension,VOLLAR,USD
1015,Counterparty,XCP,USD
1016,Cycling Coin,CYC,USD
1017,DeltaCredits,DCRE,USD
1018,Bitcoin Vault,BTCV,USD
1019,Ethereum Lite,ELITE,USD
1020,InflationCoin,IFLT,USD
1021,InvisibleCoin,IVZ,USD
1022,Super Bitcoin,SBTC,USD
1023,CryptoBossCoin,CBC,USD
1024,Ethereum eRush,EER,USD
1025,EurocoinToken,ECTE,USD
1026,Exchange Union,XUC,USD
1027,FrankyWillCoin,FRWC,USD
1028,GameLeagueCoin,GML,USD
1029,Halloween Coin,HALLO,USD
1030,Jibrel Network,JNT,USD
1031,ThoreCashTRX,TCHTRX,USD
1032,United Bitcoin,UBTC,USD
1033,CryptoWorldX Token,CWXT,USD
1034,Cryptoindex.com 100,CIX100,USD
1035,Digital Bullion Gold,DBG,USD
1036,Advanced Internet Blocks,AIB,USD
